allele,anchor,n_raw,n_phase1,n_phase2,kl_raw,kl_phase1,kl_phase2,kl_reduction_pct
HLAA01090101,anchor2_last,2,2,2,2.9956,2.9956,2.9956,0.0
HLAA0138,anchor2_last,2,2,2,2.9956,2.9956,2.9956,0.0
HLAA3106,anchor2_last,2,2,2,2.9956,2.9956,2.9956,0.0
HLAA3213,anchor2_last,2,2,2,2.9956,2.9956,2.9956,0.0
HLAA3603,anchor2_last,4,4,3,2.4333,2.4333,2.9956,-23.11
HLAB1537,anchor2_last,3,3,2,2.3591,2.3591,2.9956,-26.98
HLAB15730102,anchor2_last,3,3,2,2.3591,2.3591,2.9956,-26.98
HLAB1825,anchor2_last,3,3,2,2.3591,2.3591,2.9956,-26.98
HLAB40104,anchor2_last,2,2,2,2.9956,2.9956,2.9956,0.0
HLAC07276,anchor2_last,3,3,3,2.9956,2.9956,2.9956,0.0
PATRB05010101,anchor2_last,2,2,2,2.9956,2.9956,2.9956,0.0
PATRB1701,anchor2_last,3,3,3,2.9956,2.9956,2.9956,0.0
SLA11402,anchor2_last,3,3,2,2.3591,2.3591,2.9956,-26.98
BOLA106701,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
BOLA201801,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
BOLA202201,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
BOLA203001,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
BOLA204501,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
BOLA205601,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
BOLA205701,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
BOLA601302,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
BOLA601501,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
HLAA02402,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
HLAA2425,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
HLAA2911,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
HLAA3108,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
HLAA3405,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
HLAB1580,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
HLAB1811,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
HLAB2714,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
HLAB39123,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
HLAB4021,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
HLAB5114,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
HLAC03130102,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
HLAC03179,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
HLAC040601,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
HLAC0535,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
HLAC0705,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
HLAC0710,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
HLAC07130101,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
HLAC0746,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
MAMUA1008010101,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
PATRA0402,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
PATRA06010101,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
PATRA0602,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
PATRA11010101,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
PATRB0301,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
PATRB1602,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
PATRB23010201,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
PATRB23020101,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
SLA10101,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
SLA11201,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
SLA11502,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
SLA21201,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
SLA30301,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
